date,average_speed,average_watts,distance,total_elevation_gain,type,time_min
2017-03-11,26.95,175.0,56.25,621.6,Ride,149
2017-03-11,24.69,135.0,72.04,1121.3,Ride,201
2017-03-10,10.99,0.0,13.63,135.9,Run,76
2017-03-08,9.84,0.0,17.17,239.5,Run,122
2017-03-05,8.46,0.0,20.01,612.6,Run,167
2017-03-04,24.6,159.2,65.69,1011.7,Ride,182
2017-03-03,10.89,0.0,15.11,50.9,Run,96
2017-03-01,10.7,0.0,17.89,146.2,Run,123
2017-02-27,24.38,150.5,44.82,787.7,Ride,121
2017-02-27,10.99,0.0,19.61,209.5,Run,111
2017-02-26,25.63,148.3,83.11,1233.3,Ride,223
2017-02-24,27.19,178.2,27.66,364.6,Ride,63
2017-02-23,30.33,168.3,23.68,69.9,Ride,48
2017-02-23,25.56,162.8,27.96,377.5,Ride,76
2017-02-22,30.74,171.2,22.81,49.7,Ride,45
2017-02-22,9.89,0.0,18.94,344.8,Run,128
2017-02-20,25.14,150.6,43.67,543.7,Ride,121
2017-02-18,24.6,152.3,84.66,1117.9,Ride,269
2017-02-16,11.16,0.0,15.05,63.7,Run,82
2017-02-14,26.68,127.6,23.87,71.4,Ride,57
2017-02-09,10.87,0.0,14.94,291.7,Run,92
2017-02-08,10.12,0.0,16.45,138.7,Run,117
2017-02-01,9.79,0.0,18.09,244.0,Run,136
2017-01-30,8.27,0.0,12.84,451.7,Run,103
2017-01-29,10.29,0.0,9.68,424.0,Run,59
2017-01-27,8.68,0.0,9.1,425.9,Run,64
2017-01-25,10.47,0.0,17.61,286.4,Run,124
2017-01-22,8.68,0.0,19.72,683.8,Run,154
2017-01-20,10.18,0.0,12.86,95.7,Run,81
2017-01-18,10.49,0.0,18.0,51.1,Run,123
2017-01-04,10.73,0.0,5.87,79.9,Run,33
2016-12-29,7.76,0.0,12.83,183.5,Run,126
2016-12-28,25.36,99.1,63.48,215.1,Ride,198
2016-12-25,11.57,0.0,24.67,243.2,Run,133
2016-12-24,20.72,69.5,47.1,176.5,Ride,191
2016-12-23,9.22,0.0,21.0,188.7,Run,153
2016-12-21,10.93,0.0,18.05,118.8,Run,124
2016-12-15,7.06,0.0,15.13,867.1,Run,165
2016-12-11,12.27,0.0,5.74,112.3,Run,37
2016-12-10,23.73,142.1,85.12,1314.8,Ride,257
2016-12-07,11.17,0.0,22.39,66.8,Run,133
2016-12-07,8.81,0.0,11.67,187.1,Run,106
2016-12-04,25.69,128.9,103.62,510.8,Ride,269
2016-12-02,9.27,0.0,11.25,110.6,Run,74
2016-11-30,24.0,107.7,27.21,306.5,Ride,68
2016-11-30,11.19,0.0,15.6,24.0,Run,95
2016-11-27,23.4,129.4,74.66,953.0,Ride,210
2016-11-26,10.09,0.0,23.84,731.2,Run,141
2016-11-24,8.9,0.0,6.36,154.1,Run,58
2016-11-23,10.81,0.0,18.84,34.9,Run,140
2016-11-22,9.57,0.0,3.83,54.6,Run,26
2016-11-20,24.96,128.1,62.19,704.6,Ride,171
2016-11-19,9.72,0.0,21.14,113.6,Run,164
2016-11-18,10.4,0.0,9.9,100.0,Run,60
2016-11-16,10.43,0.0,13.01,13.5,Run,96
2016-11-15,9.85,0.0,2.52,41.2,Run,15
2016-11-13,8.55,0.0,8.07,76.2,Run,66
2016-11-12,12.75,0.0,11.39,191.1,Run,53
2016-11-09,10.08,0.0,13.1,91.8,Run,102
2016-11-02,21.97,134.5,53.69,714.9,Ride,160
2016-11-02,10.29,0.0,10.63,43.9,Run,72
2016-10-31,13.19,0.0,21.14,57.1,Run,96
2016-10-27,9.59,0.0,6.01,35.3,Run,44
2016-10-26,9.55,0.0,13.48,168.0,Run,110
2016-10-24,10.03,0.0,14.01,207.9,Run,104
2016-10-23,21.92,125.6,53.91,780.4,Ride,155
2016-10-19,10.65,0.0,14.62,115.4,Run,102
2016-10-17,7.64,0.0,12.32,834.4,Run,156
2016-10-15,8.62,0.0,16.23,429.7,Run,121
2016-10-13,8.84,0.0,12.82,284.4,Run,124
2016-10-12,8.79,0.0,10.26,426.5,Run,74
2016-10-09,8.53,0.0,13.01,554.8,Run,135
2016-10-08,11.39,0.0,20.46,68.4,Run,110
2016-10-05,20.03,169.4,121.2,3414.4,Ride,443
2016-10-05,10.48,0.0,13.23,128.3,Run,118
2016-09-29,25.02,123.7,47.99,541.0,Ride,117
2016-09-28,9.31,0.0,7.28,212.8,Run,57
2016-09-26,22.31,122.5,88.78,1241.2,Ride,267
