,average_speed,average_heartrate,average_watts,distance,elapsed_time,total_elevation_gain,type,commute,start_date_local
214,6.056,106.7,94.2,24817.7,1:14:20,316.0,Ride,True,2017-07-13T19:37:45
215,7.865,114.0,120.6,23808.7,0:50:56,108.0,Ride,True,2017-07-13T08:35:47
216,7.713,135.4,166.5,80002.9,3:30:22,1248.0,Ride,False,2017-07-12T17:53:16
217,7.85,119.6,122.0,25283.5,0:54:09,126.0,Ride,True,2017-07-12T07:37:49
218,3.098,145.2,,10085.4,1:02:51,82.7,Run,False,2017-07-11T19:13:57
219,7.872,138.3,203.6,210087.0,7:26:33,3801.0,Ride,False,2017-07-09T06:59:28
220,6.857,119.8,122.5,51047.0,3:03:45,607.0,Ride,False,2017-07-06T18:28:05
221,8.18,126.7,136.1,24222.4,0:49:21,109.0,Ride,False,2017-07-06T08:12:57
222,7.674,141.4,164.6,81824.2,3:38:55,1193.0,Ride,False,2017-07-05T17:53:56
223,7.53,117.4,108.6,24578.2,0:55:23,124.0,Ride,False,2017-07-05T09:08:20
224,2.919,135.8,,18292.9,2:09:17,182.6,Run,False,2017-07-04T18:24:47
225,7.87,,121.4,24207.5,0:51:16,110.0,Ride,True,2017-07-03T18:23:16
226,6.893,,89.0,24451.0,0:59:07,123.0,Ride,True,2017-07-03T09:04:55
227,7.775,140.1,159.6,110741.0,4:15:57,1503.0,Ride,False,2017-07-02T09:11:46
228,2.053,139.1,,21419.6,3:39:48,924.0,Run,False,2017-07-01T11:19:44
229,2.191,119.3,,7395.3,0:59:42,276.8,Run,False,2017-06-29T20:40:01
230,7.652,131.8,134.5,83675.5,5:14:06,600.0,Ride,False,2017-06-28T17:53:09
231,2.917,142.7,,14168.8,1:44:06,147.0,Run,False,2017-06-27T18:21:58
232,1.84,125.3,,29392.8,5:50:20,2199.0,Run,False,2017-06-25T10:18:38
233,6.636,123.8,127.0,174299.0,8:22:31,3044.0,Ride,False,2017-06-24T10:14:02
234,4.961,121.8,106.1,42869.9,2:45:02,1269.0,Ride,False,2017-06-22T18:31:28
235,7.7,136.7,161.3,111657.0,4:41:49,1463.0,Ride,False,2017-06-21T17:59:09
236,7.733,113.4,119.1,24241.9,0:52:45,117.0,Ride,False,2017-06-21T08:08:54
237,2.766,136.3,,18042.7,2:13:44,361.3,Run,False,2017-06-20T18:18:38
238,5.927,112.5,100.7,63623.3,3:18:24,1099.0,Ride,False,2017-06-19T17:41:32
239,2.221,155.3,,20153.2,2:31:14,1125.4,Run,False,2017-06-18T09:59:16
240,2.979,137.0,,6440.8,0:37:09,89.4,Run,False,2017-06-17T10:19:43
241,7.06,134.8,139.1,85930.0,3:52:36,1506.0,Ride,False,2017-06-15T17:44:07
242,1.609,123.1,,9471.9,1:55:39,852.6,Run,False,2017-06-13T19:08:23
243,8.058,122.0,154.7,155287.0,6:43:57,1894.0,Ride,False,2017-06-11T09:09:43
244,6.467,121.8,110.0,146813.0,7:21:28,2183.0,Ride,False,2017-06-10T11:09:58
245,6.815,125.5,116.3,42427.7,1:48:05,609.0,Ride,False,2017-06-09T18:10:53
246,7.279,107.0,102.1,24216.3,0:56:08,124.0,Ride,False,2017-06-09T07:48:20
247,7.928,133.8,161.4,96214.1,3:51:16,1229.0,Ride,False,2017-06-07T17:52:36
248,6.038,,66.5,25273.9,1:11:59,134.0,Ride,False,2017-06-07T08:23:13
249,6.468,114.6,121.3,164572.0,8:14:30,2917.0,Ride,False,2017-06-04T09:11:24
250,6.91,112.5,117.3,122038.0,8:44:54,1157.0,Ride,False,2017-06-03T10:41:00
251,6.584,118.5,120.0,87788.0,6:06:38,1403.0,Ride,False,2017-06-02T10:22:58
252,5.953,120.4,112.5,152017.0,9:32:04,3133.0,Ride,False,2017-06-01T09:23:22
253,6.064,124.4,113.9,82037.8,4:23:15,1410.0,Ride,False,2017-05-31T15:06:21
254,6.286,,96.9,24916.5,1:06:04,319.0,Ride,True,2017-05-29T17:53:31
255,7.603,,111.9,24336.4,0:54:00,130.0,Ride,False,2017-05-29T08:07:37
256,6.612,110.4,103.7,179187.0,10:07:16,2001.0,Ride,False,2017-05-27T09:40:28
257,6.241,129.5,131.3,155285.0,9:11:42,3562.0,Ride,False,2017-05-26T09:35:30
258,7.458,136.0,153.5,101234.0,4:16:51,1545.0,Ride,False,2017-05-24T17:52:51
259,7.19,,101.9,24560.3,0:57:21,128.0,Ride,False,2017-05-24T08:00:34
260,2.593,133.6,,18461.6,2:16:14,383.9,Run,False,2017-05-23T18:24:26
261,6.091,132.5,136.3,102132.0,6:08:29,2737.0,Ride,False,2017-05-21T10:34:30
262,6.568,111.9,111.7,84544.0,5:05:10,1265.0,Ride,False,2017-05-20T10:20:02
263,7.919,137.4,167.2,102175.0,4:09:30,1364.0,Ride,False,2017-05-17T17:41:13
264,2.757,138.4,,19778.0,2:32:56,198.1,Run,False,2017-05-16T18:20:06
265,6.466,119.8,111.5,70536.0,3:23:09,1123.0,Ride,False,2017-05-15T17:14:44
266,7.187,123.7,105.1,25284.3,1:00:03,178.0,Ride,True,2017-05-15T07:20:19
267,6.699,120.9,128.7,52878.9,2:14:14,926.0,Ride,False,2017-05-14T09:20:03
268,6.413,134.3,134.9,91834.0,4:25:42,2011.0,Ride,False,2017-05-13T09:24:25
269,6.306,130.5,104.4,32481.4,1:27:45,503.0,Ride,False,2017-05-12T16:07:13
270,7.449,123.8,111.0,24142.1,0:55:43,120.0,Ride,False,2017-05-12T07:20:43
271,8.22,138.6,181.8,102233.0,3:55:48,1322.0,Ride,False,2017-05-10T17:38:55
272,6.681,122.1,114.4,90022.3,4:00:59,1379.0,Ride,False,2017-05-09T17:05:46
273,6.823,,121.6,103502.0,5:29:45,1118.0,Ride,False,2017-05-06T09:43:50
274,6.407,124.7,129.7,83333.4,4:28:39,1655.0,Ride,False,2017-05-05T15:21:43
275,7.166,133.9,149.6,84316.2,3:41:06,1395.0,Ride,False,2017-05-03T17:28:27
276,7.229,122.8,106.1,24852.3,1:00:10,132.0,Ride,False,2017-05-03T07:52:26
277,3.084,133.4,,11798.3,1:20:59,195.3,Run,False,2017-05-02T18:50:42
278,7.127,125.2,124.7,72312.7,7:48:13,1328.0,Ride,False,2017-04-30T10:22:59
279,7.053,129.8,133.7,171688.0,10:01:59,2647.0,Ride,False,2017-04-29T09:00:50
280,2.402,147.5,,15707.4,2:03:27,428.3,Run,False,2017-04-27T19:42:50
281,3.593,,,19530.9,1:30:43,241.1,Run,False,2017-04-23T09:30:18
282,5.133,,147.8,83722.5,5:34:26,2660.8,Ride,False,2017-04-21T07:45:24
283,6.102,,167.1,154938.0,8:39:11,3873.1,Ride,False,2017-04-20T08:40:48
284,6.823,,138.3,40032.1,2:33:43,522.2,Ride,False,2017-04-19T09:13:57
285,6.204,,161.5,101352.0,6:18:35,2577.2,Ride,False,2017-04-18T08:08:35
286,6.311,,176.2,85873.6,5:08:19,2213.9,Ride,False,2017-04-17T08:03:33
287,6.837,,174.9,110062.0,5:38:34,2207.8,Ride,False,2017-04-16T09:05:51
288,3.113,,,24750.7,2:24:48,261.9,Run,False,2017-04-13T16:06:59
289,2.997,,,16798.2,1:52:08,157.9,Run,False,2017-04-11T18:12:05
290,7.763,,184.8,145070.0,6:11:39,2320.8,Ride,False,2017-04-09T09:27:53
291,6.343,,161.3,84926.2,4:05:46,2395.8,Ride,False,2017-04-08T10:09:35
292,1.968,,,17620.0,2:45:31,1513.4,Run,False,2017-04-06T17:56:46
293,7.386,,187.8,68559.7,2:59:09,1206.4,Ride,False,2017-04-05T17:40:01
294,2.831,131.6,,16923.8,1:53:46,268.6,Run,False,2017-04-04T18:22:17
